child,parent,method,evidence
share lsf script,script,seed,head_match
share ownership group,group,seed,head_match
share queue,queue,seed,head_match
share resource queue,queue,seed,head_match
share total license,license,seed,head_match
share tree,tree,seed,head_match
shared license,license,seed,head_match
shared resource,resource,seed,head_match
sharedir lsf_cognitive_v,lsf_cognitive_v,seed,head_match
shell environment,environment,seed,head_match
shell job,job,seed,head_match
shell process,process,seed,head_match
shell script,script,seed,head_match
shell script script,script,seed,head_match
shifter container,container,seed,head_match
shifter container job,job,seed,head_match
shifter container job,container job,seed,head_match
shifter job,job,seed,head_match
short model,model,seed,head_match
short resource,resource,seed,head_match
shortened format,format,seed,head_match
signal action,action,seed,head_match
signal job,job,seed,head_match
signal request,request,seed,head_match
signal sequence process,process,seed,head_match
signal specified job,job,seed,head_match
similar function,function,seed,head_match
simple parallel job,job,seed,head_match
simple parallel job,parallel job,seed,head_match
simple resource requirement,requirement,seed,head_match
simple resource requirement,resource requirement,seed,head_match
simple shell,shell,seed,head_match
simple test application,application,seed,head_match
simple work flow,flow,seed,head_match
simulation output,output,seed,head_match
simulation queue test,test,seed,head_match
single batch job,job,seed,head_match
single batch job,batch job,seed,head_match
single cache,cache,seed,head_match
single cluster,cluster,seed,head_match
single entry,entry,seed,head_match
single host,host,seed,head_match
single host job,job,seed,head_match
single host job,host job,seed,head_match
single job,job,seed,head_match
single lsf cluster,cluster,seed,head_match
single lsf cluster,lsf cluster,seed,head_match
single lsf job,job,seed,head_match
single lsf job,lsf job,seed,head_match
single partition,partition,seed,head_match
single service domain,service domain,seed,head_match
single service domain,domain,seed,head_match
single slot host,host,seed,head_match
singularity container job,job,seed,head_match
singularity container job,container job,seed,head_match
singularity job,job,seed,head_match
site application,application,seed,head_match
site job,job,seed,head_match
site policy,policy,seed,head_match
sizable job,job,seed,head_match
sizable job behavior,behavior,seed,head_match
sla goal,goal,seed,head_match
sla job,job,seed,head_match
sla scheduling policy,scheduling policy,seed,head_match
sla scheduling policy,policy,seed,head_match
sla service class,service class,seed,head_match
sla service class,class,seed,head_match
slot allocation,allocation,seed,head_match
slot allocation queue,queue,seed,head_match
slot block job,job,seed,head_match
slot cluster,cluster,seed,head_match
slot compound resource,resource,seed,head_match
slot job,job,seed,head_match
slot job host,host,seed,head_match
slot job queue,queue,seed,head_match
slot job queue,job queue,seed,head_match
slot pool queue,queue,seed,head_match
slot processor,processor,seed,head_match
slot reserving job,job,seed,head_match
slot resource,resource,seed,head_match
slot subsequent term,term,seed,head_match
slot task lsf,task lsf,seed,head_match
sndjobs_to job,job,seed,head_match
socket socket,socket,seed,head_match
software function,function,seed,head_match
software hardware resource,resource,seed,head_match
software license,license,seed,head_match
solari container lsf,container lsf,seed,head_match
source lsf environment,environment,seed,head_match
source lsf environment,lsf environment,seed,head_match
span section,section,seed,head_match
special consideration job,job,seed,head_match
special resource,resource,seed,head_match
specifie job,job,seed,head_match
specifie policy,policy,seed,head_match
specifie queue,queue,seed,head_match
specifie service domain,service domain,seed,head_match
specifie service domain,domain,seed,head_match
specifie template,template,seed,head_match
specifie type policy,policy,seed,head_match
spectrum lsf consumer,consumer,seed,head_match
spectrum lsf job,job,seed,head_match
spectrum lsf job,lsf job,seed,head_match
spot instance,instance,seed,head_match
spot instance request,request,seed,head_match
srcluster cluster,cluster,seed,head_match
ssd resource,resource,seed,head_match
ssh client,client,seed,head_match
ssh daemon,daemon,seed,head_match
ssh secure method,method,seed,head_match
ssusp job,job,seed,head_match
stage requirement,requirement,seed,head_match
staging area cache,cache,seed,head_match
staging area job,job,seed,head_match
standalone cluster,cluster,seed,head_match
standard installer,installer,seed,head_match
standard installer package,package,seed,head_match
standard logic,logic,seed,head_match
standard lsf host,host,seed,head_match
standard lsf host,lsf host,seed,head_match
standard output,output,seed,head_match
start job,job,seed,head_match
starter command line,command line,seed,head_match
starter script,script,seed,head_match
state condition,condition,seed,head_match
state job host,host,seed,head_match
state scheduler,scheduler,seed,head_match
static cpuset,cpuset,seed,head_match
static host,host,seed,head_match
static index,index,seed,head_match
static mig scheduling,scheduling,seed,head_match
static resource,resource,seed,head_match
statistic compute unit,compute unit,seed,head_match
statistic task,task,seed,head_match
statu cluster,cluster,seed,head_match
statu host,host,seed,head_match
statu lsf job,job,seed,head_match
statu lsf job,lsf job,seed,head_match
statu specific job,job,seed,head_match
statu unavail,unavail,seed,head_match
step lsf host,host,seed,head_match
step lsf host,lsf host,seed,head_match
storage lsf simulator,lsf simulator,seed,head_match
storage lsf simulator,simulator,seed,head_match
storage network connection,connection,seed,head_match
strict syntax,syntax,seed,head_match
string resource,resource,seed,head_match
string resource template,template,seed,head_match
structure section,section,seed,head_match
structure topology,topology,seed,head_match
subcommand usage section,section,seed,head_match
submission cluster,cluster,seed,head_match
submission cluster scheduler,scheduler,seed,head_match
submission environment,environment,seed,head_match
submission execution cluster,cluster,seed,head_match
submission execution cluster,execution cluster,seed,head_match
submission execution host,host,seed,head_match
submission execution host,execution host,seed,head_match
submission parallel job,job,seed,head_match
submission parallel job,parallel job,seed,head_match
submission performance job,job,seed,head_match
submission queue,queue,seed,head_match
submit control,control,seed,head_match
subnet agent host,host,seed,head_match
subnet instance,instance,seed,head_match
subsequent allocation,allocation,seed,head_match
subsequent cloud instance,instance,seed,head_match
subsequent job,job,seed,head_match
subsequent step,step,seed,head_match
subsequent term,term,seed,head_match
subset server host,host,seed,head_match
subset server host,server host,seed,head_match
successful signal,signal,seed,head_match
suitable host,host,seed,head_match
summary information job,job,seed,head_match
summary information job,information job,seed,head_match
support lsf installer,installer,seed,head_match
suspend action,action,seed,head_match
suspend unfinished job,job,seed,head_match
suspended job,job,seed,head_match
suspending condition,condition,seed,head_match
switch job,job,seed,head_match
switch request,request,seed,head_match
symbolic link cache,cache,seed,head_match
synchronous execution,execution,seed,head_match
system account,account,seed,head_match
system default queue,queue,seed,head_match
system default queue,default queue,seed,head_match
system event,event,seed,head_match
system installation,installation,seed,head_match
system level,level,seed,head_match
system lsf session,session,seed,head_match
system orphan job,job,seed,head_match
system requirement,requirement,seed,head_match
system requirement compatibility,compatibility,seed,head_match
system vendor,vendor,seed,head_match
systemunix host,host,seed,head_match
tag group,group,seed,head_match
target queue,queue,seed,head_match
task allocation,allocation,seed,head_match
task array task,task,seed,head_match
task container,container,seed,head_match
task environment,environment,seed,head_match
task execution,execution,seed,head_match
task execution host,host,seed,head_match
task execution host,execution host,seed,head_match
task geometry specification,specification,seed,head_match
task group host,host,seed,head_match
task group host,group host,seed,head_match
task job,job,seed,head_match
task multiple host,host,seed,head_match
task remote host,host,seed,head_match
task reservation,reservation,seed,head_match
task running job,job,seed,head_match
task running job,running job,seed,head_match
task slot job,job,seed,head_match
task slot job,slot job,seed,head_match
task specified host,host,seed,head_match
task task,task,seed,head_match
taskman job,job,seed,head_match
taskman task,task,seed,head_match
template alphabetical order,order,seed,head_match
template cluster,cluster,seed,head_match
template list object,object,seed,head_match
term_cpulimit job,job,seed,head_match
terminate action,action,seed,head_match
terminatelsf checkpoint job,job,seed,head_match
test communication cluster,cluster,seed,head_match
test job,job,seed,head_match
throughput calculation,calculation,seed,head_match
time daemon,daemon,seed,head_match
time event,event,seed,head_match
time expression,expression,seed,head_match
time host,host,seed,head_match
time job submission,job submission,seed,head_match
time limit set,set,seed,head_match
time lsf attempt,attempt,seed,head_match
time period job,job,seed,head_match
time period job,period job,seed,head_match
time period reservation,reservation,seed,head_match
time policy,policy,seed,head_match
time reservation,reservation,seed,head_match
time time reservation,reservation,seed,head_match
time window reservation,reservation,seed,head_match
token client,client,seed,head_match
token cluster allocation,allocation,seed,head_match
token feature,feature,seed,head_match
token group,group,seed,head_match
token project,project,seed,head_match
token usage,usage,seed,head_match
topology host,host,seed,head_match
topology local host,host,seed,head_match
topology local host,local host,seed,head_match
traditional hpc environment,environment,seed,head_match
traditional lsf job,job,seed,head_match
traditional lsf job,lsf job,seed,head_match
traffic management host,host,seed,head_match
traffic management host,management host,seed,head_match
traffic queue,queue,seed,head_match
transfer job,job,seed,head_match
transfer node,node,seed,head_match
transfer queue,queue,seed,head_match
transfer tool,tool,seed,head_match
tree node,node,seed,head_match
tree root,root,seed,head_match
tsjobhelper window service,service,seed,head_match
tsjobhelper window service,window service,seed,head_match
tstp signal job,job,seed,head_match
tune cpu factor,factor,seed,head_match
tune lim,lim,seed,head_match
type account,account,seed,head_match
type advance reservation,reservation,seed,head_match
type advance reservation,advance reservation,seed,head_match
type application,application,seed,head_match
type cluster,cluster,seed,head_match
type compute unit,compute unit,seed,head_match
type event,event,seed,head_match
type fair share,fair share,seed,head_match
type fair share,share,seed,head_match
type host,host,seed,head_match
type job,job,seed,head_match
type license,license,seed,head_match
type lsf host,host,seed,head_match
type lsf host,lsf host,seed,head_match
type resource,resource,seed,head_match
typically pool,pool,seed,head_match
unavailable dynamic host,host,seed,head_match
unavailable dynamic host,dynamic host,seed,head_match
unavailable host,host,seed,head_match
unavailable job,job,seed,head_match
unchanged cluster,cluster,seed,head_match
underlying structure,structure,seed,head_match
underrun job,job,seed,head_match
unexpected behavior,behavior,seed,head_match
unique template,template,seed,head_match
unit cluster,cluster,seed,head_match
unit job submission,job submission,seed,head_match
unit order,order,seed,head_match
unit resource,resource,seed,head_match
unit synopsy resource,resource,seed,head_match
unit work,work,seed,head_match
unix account,account,seed,head_match
unix cluster,cluster,seed,head_match
unix command,command,seed,head_match
unix command line,command line,seed,head_match
unix host,host,seed,head_match
unix job,job,seed,head_match
unix linux host,host,seed,head_match
unix system lsf,system lsf,seed,head_match
unix window cluster,cluster,seed,head_match
unknown host,host,seed,head_match
unknown license requirement,requirement,seed,head_match
unlisted host,host,seed,head_match
unreach statu host,host,seed,head_match
unrecognized cluster,cluster,seed,head_match
unused license,license,seed,head_match
unused license application,application,seed,head_match
update lsf configuration,configuration,seed,head_match
update lsf configuration,lsf configuration,seed,head_match
upgrade installation,installation,seed,head_match
urg signal,signal,seed,head_match
urgent job,job,seed,head_match
usage cluster,cluster,seed,head_match
usage host,host,seed,head_match
usage r,r,seed,head_match
usergroup section,section,seed,head_match
utilization cluster,cluster,seed,head_match
valid application profile,application profile,seed,head_match
valid application profile,profile,seed,head_match
valid lsf host,host,seed,head_match
valid lsf host,lsf host,seed,head_match
valid provider,provider,seed,head_match
valid server host,host,seed,head_match
valid server host,server host,seed,head_match
valid tag,tag,seed,head_match
valid template,template,seed,head_match
validation request,request,seed,head_match
value entry,entry,seed,head_match
verification license scheduler,scheduler,seed,head_match
verification license scheduler,license scheduler,seed,head_match
verilog resource,resource,seed,head_match
version information lsf,information lsf,seed,head_match
version predictor service,service,seed,head_match
vertical format,format,seed,head_match
vertical tabular format,format,seed,head_match
view job output,output,seed,head_match
virtual instance,instance,seed,head_match
virtual machine,machine,seed,head_match
virtual machine instance,instance,seed,head_match
virtual server instance,instance,seed,head_match
vm instance,instance,seed,head_match
wan license server,server,seed,head_match
wan license server,license server,seed,head_match
wan service domain,service domain,seed,head_match
wan service domain,domain,seed,head_match
watchdog feature,feature,seed,head_match
web service,service,seed,head_match
wildcard array index,index,seed,head_match
window cluster,cluster,seed,head_match
window command,command,seed,head_match
window compute node,node,seed,head_match
window compute node,compute node,seed,head_match
window domain,domain,seed,head_match
window installation guide,guide,seed,head_match
window job,job,seed,head_match
window service,service,seed,head_match
window suspending condition,condition,seed,head_match
window unix host,host,seed,head_match
window unix host,unix host,seed,head_match
wlm ln host,host,seed,head_match
work job,job,seed,head_match
working job,job,seed,head_match
workload host,host,seed,head_match
workload mbatchd daemon,daemon,seed,head_match
workload mbatchd daemon,mbatchd daemon,seed,head_match
workload output mode,mode,seed,head_match
workload performance,performance,seed,head_match
workload snapshot function,function,seed,head_match
wrapper script,script,seed,head_match
x connection,connection,seed,head_match
x enabled application,application,seed,head_match
x job,job,seed,head_match
x server,server,seed,head_match
x server host,host,seed,head_match
x server host,server host,seed,head_match
x session,session,seed,head_match
xeon phi resource,resource,seed,head_match
y job,job,seed,head_match
y jsm daemon,daemon,seed,head_match
y parameter section,section,seed,head_match
y parameter section,parameter section,seed,head_match
zone instance,instance,seed,head_match
job group risk_group,job group,"embed_expand(k=5,min_cos=0.75)",seed=jg job group;sim=1.000
group job,job group,"embed_expand(k=5,min_cos=0.75)",seed=jg job group;sim=1.000
group subject sla,group,"embed_expand(k=5,min_cos=0.75)",seed=group group;sim=1.000
hierarchical group member,group,"embed_expand(k=5,min_cos=0.75)",seed=group group;sim=1.000
group member,group,"embed_expand(k=5,min_cos=0.75)",seed=group group;sim=1.000
option following field,group,"embed_expand(k=5,min_cos=0.75)",seed=option feature group;sim=0.999
elim executable host,group,"embed_expand(k=5,min_cos=0.75)",seed=external host group;sim=0.999
order candidate host,group,"embed_expand(k=5,min_cos=0.75)",seed=external host group;sim=0.999
job group risk_group,group,"embed_expand(k=5,min_cos=0.75)",seed=job job group;sim=1.000
group job,group,"embed_expand(k=5,min_cos=0.75)",seed=job job group;sim=1.000
group host,group,"embed_expand(k=5,min_cos=0.75)",seed=host group;sim=1.000
host group member,group,"embed_expand(k=5,min_cos=0.75)",seed=host group;sim=1.000
good host,group,"embed_expand(k=5,min_cos=0.75)",seed=host group;sim=0.999
resource availability,group,"embed_expand(k=5,min_cos=0.75)",seed=resource group;sim=0.999
dynamic host host,group,"embed_expand(k=5,min_cos=0.75)",seed=host host group;sim=0.999
unavailable host,group,"embed_expand(k=5,min_cos=0.75)",seed=host host group;sim=0.999
management host,group,"embed_expand(k=5,min_cos=0.75)",seed=host host group;sim=0.999
powerful management host,group,"embed_expand(k=5,min_cos=0.75)",seed=host host group;sim=0.999
root stage process,group,"embed_expand(k=5,min_cos=0.75)",seed=root group;sim=0.999
share group member,group,"embed_expand(k=5,min_cos=0.75)",seed=fair share group;sim=1.000
fair share policy,group,"embed_expand(k=5,min_cos=0.75)",seed=fair share group;sim=0.999
group project,group,"embed_expand(k=5,min_cos=0.75)",seed=project group;sim=1.000
child process,group,"embed_expand(k=5,min_cos=0.75)",seed=process group;sim=0.999
process,group,"embed_expand(k=5,min_cos=0.75)",seed=process group;sim=0.999
exclusive process gpu,group,"embed_expand(k=5,min_cos=0.75)",seed=process group;sim=0.999
individual lsf host,group,"embed_expand(k=5,min_cos=0.75)",seed=lsf host group;sim=1.000
valid lsf host,group,"embed_expand(k=5,min_cos=0.75)",seed=lsf host group;sim=1.000
lsf client host,group,"embed_expand(k=5,min_cos=0.75)",seed=lsf host group;sim=1.000
lsf dynamic host,group,"embed_expand(k=5,min_cos=0.75)",seed=lsf host group;sim=0.999
host statu,host,"embed_expand(k=5,min_cos=0.75)",seed=connector host;sim=1.000
host level,host,"embed_expand(k=5,min_cos=0.75)",seed=additional host;sim=0.999
host compute unit,host,"embed_expand(k=5,min_cos=0.75)",seed=additional host;sim=0.999
host alia,host,"embed_expand(k=5,min_cos=0.75)",seed=topology host;sim=1.000
host selection,host,"embed_expand(k=5,min_cos=0.75)",seed=condition host;sim=0.999
host parallel job,host,"embed_expand(k=5,min_cos=0.75)",seed=job submission host;sim=1.000
server host lim,host,"embed_expand(k=5,min_cos=0.75)",seed=server host;sim=0.999
server host cluster,host,"embed_expand(k=5,min_cos=0.75)",seed=server host;sim=0.999
host host model,host,"embed_expand(k=5,min_cos=0.75)",seed=host management host;sim=0.999
master host advance,host,"embed_expand(k=5,min_cos=0.75)",seed=client host;sim=0.999
host resource provider,host,"embed_expand(k=5,min_cos=0.75)",seed=resource host;sim=1.000
host factory,host,"embed_expand(k=5,min_cos=0.75)",seed=suitable host;sim=1.000
lsf host cluster,host,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster host;sim=1.000
lsf cluster,host,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster host;sim=0.999
cluster lsf,host,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster host;sim=0.999
management host lim,host,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd management host;sim=0.999
management host management,host,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd management host;sim=0.999
host cluster,host,"embed_expand(k=5,min_cos=0.75)",seed=cluster host;sim=1.000
case lsf,host,"embed_expand(k=5,min_cos=0.75)",seed=batch server host;sim=0.998
host network,host,"embed_expand(k=5,min_cos=0.75)",seed=output host;sim=0.999
task host sequence,host,"embed_expand(k=5,min_cos=0.75)",seed=task specified host;sim=1.000
execution host job,host,"embed_expand(k=5,min_cos=0.75)",seed=job execution host;sim=1.000
host particular job,host,"embed_expand(k=5,min_cos=0.75)",seed=job execution host;sim=0.999
host host group,host,"embed_expand(k=5,min_cos=0.75)",seed=dynamic host host;sim=0.999
host job,host,"embed_expand(k=5,min_cos=0.75)",seed=job rerun host;sim=1.000
number host condition,host,"embed_expand(k=5,min_cos=0.75)",seed=task execution host;sim=0.999
execution host candidate,host,"embed_expand(k=5,min_cos=0.75)",seed=submission execution host;sim=1.000
host power,host,"embed_expand(k=5,min_cos=0.75)",seed=statu host;sim=1.000
host remote cluster,host,"embed_expand(k=5,min_cos=0.75)",seed=root host;sim=0.999
host local cluster,host,"embed_expand(k=5,min_cos=0.75)",seed=root host;sim=0.999
lsf host group,host,"embed_expand(k=5,min_cos=0.75)",seed=individual lsf host;sim=1.000
management host instance,host,"embed_expand(k=5,min_cos=0.75)",seed=lim local host;sim=0.999
host model,host,"embed_expand(k=5,min_cos=0.75)",seed=type host;sim=0.999
host instance,host,"embed_expand(k=5,min_cos=0.75)",seed=service host;sim=0.999
resource management,host,"embed_expand(k=5,min_cos=0.75)",seed=numeric resource host;sim=0.999
host order,host,"embed_expand(k=5,min_cos=0.75)",seed=local host;sim=1.000
host group,host,"embed_expand(k=5,min_cos=0.75)",seed=group host;sim=1.000
host group member,host,"embed_expand(k=5,min_cos=0.75)",seed=group host;sim=1.000
host execution,host,"embed_expand(k=5,min_cos=0.75)",seed=execution host;sim=1.000
queue job,queue,"embed_expand(k=5,min_cos=0.75)",seed=job aps queue;sim=1.000
queue high priority,queue,"embed_expand(k=5,min_cos=0.75)",seed=priority queue;sim=1.000
queue application level,queue,"embed_expand(k=5,min_cos=0.75)",seed=application profile queue;sim=1.000
resource sharing cluster,queue,"embed_expand(k=5,min_cos=0.75)",seed=resource cluster queue;sim=0.999
queue bsub,queue,"embed_expand(k=5,min_cos=0.75)",seed=interactive queue;sim=0.999
scheduling session job,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=job ineligible scheduling;sim=1.000
scheduling docker job,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=job ineligible scheduling;sim=1.000
scheduling cycle,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=backfill scheduling;sim=1.000
limit policy,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=global limit scheduling;sim=0.999
long scheduling session,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=absolute priority scheduling;sim=0.999
fcfs scheduling policy,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=absolute priority scheduling;sim=0.999
dynamic sharing,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=dynamic mig scheduling;sim=0.999
fair share policy,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=fair share scheduling;sim=0.999
parallel fair share,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=fair share scheduling;sim=0.999
affinity scheduling dash,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=affinity scheduling;sim=1.000
scheduling condition,scheduling,"embed_expand(k=5,min_cos=0.75)",seed=affinity scheduling;sim=0.999
job control action,control,"embed_expand(k=5,min_cos=0.75)",seed=job control;sim=1.000
individual job,control,"embed_expand(k=5,min_cos=0.75)",seed=job control;sim=0.999
lsf scheduling policy,control,"embed_expand(k=5,min_cos=0.75)",seed=lsf schedule control;sim=0.999
configure lsf startup,control,"embed_expand(k=5,min_cos=0.75)",seed=lsf schedule control;sim=0.999
reservation access,control,"embed_expand(k=5,min_cos=0.75)",seed=access control;sim=0.998
group,sla,"embed_expand(k=5,min_cos=0.75)",seed=group subject sla;sim=1.000
hierarchical group member,sla,"embed_expand(k=5,min_cos=0.75)",seed=group subject sla;sim=1.000
group member,sla,"embed_expand(k=5,min_cos=0.75)",seed=group subject sla;sim=1.000
project group,sla,"embed_expand(k=5,min_cos=0.75)",seed=group subject sla;sim=1.000
group project,sla,"embed_expand(k=5,min_cos=0.75)",seed=group subject sla;sim=1.000
service,sla,"embed_expand(k=5,min_cos=0.75)",seed=service class sla;sim=1.000
lsreghost window service,sla,"embed_expand(k=5,min_cos=0.75)",seed=service class sla;sim=1.000
service class,sla,"embed_expand(k=5,min_cos=0.75)",seed=service class sla;sim=1.000
service class parenthesi,sla,"embed_expand(k=5,min_cos=0.75)",seed=service class sla;sim=1.000
job array,job,"embed_expand(k=5,min_cos=0.75)",seed=resizing job;sim=1.000
job information cache,job,"embed_expand(k=5,min_cos=0.75)",seed=detailed information job;sim=1.000
job array element,job,"embed_expand(k=5,min_cos=0.75)",seed=chunk job;sim=1.000
slot job host,job,"embed_expand(k=5,min_cos=0.75)",seed=host parallel job;sim=1.000
job level host,job,"embed_expand(k=5,min_cos=0.75)",seed=host parallel job;sim=1.000
job submission host,job,"embed_expand(k=5,min_cos=0.75)",seed=host parallel job;sim=1.000
large job array,job,"embed_expand(k=5,min_cos=0.75)",seed=large parallel job;sim=1.000
job order,job,"embed_expand(k=5,min_cos=0.75)",seed=data transfer job;sim=0.999
remote job result,job,"embed_expand(k=5,min_cos=0.75)",seed=result job;sim=0.999
job submission execution,job,"embed_expand(k=5,min_cos=0.75)",seed=remote job;sim=0.999
job request,job,"embed_expand(k=5,min_cos=0.75)",seed=remote job;sim=0.999
job slot,job,"embed_expand(k=5,min_cos=0.75)",seed=slot job;sim=1.000
job forwarding model,job,"embed_expand(k=5,min_cos=0.75)",seed=type job;sim=0.999
job execution environment,job,"embed_expand(k=5,min_cos=0.75)",seed=environment job;sim=1.000
job submission environment,job,"embed_expand(k=5,min_cos=0.75)",seed=environment job;sim=0.999
job scheduling,job,"embed_expand(k=5,min_cos=0.75)",seed=requirement job;sim=1.000
exclusive job requeue,job,"embed_expand(k=5,min_cos=0.75)",seed=feature job;sim=1.000
job dispatch,job,"embed_expand(k=5,min_cos=0.75)",seed=dispatch job;sim=1.000
job scheduling dispatch,job,"embed_expand(k=5,min_cos=0.75)",seed=dispatch job;sim=0.999
job cluster,job,"embed_expand(k=5,min_cos=0.75)",seed=cluster job;sim=1.000
job event,job,"embed_expand(k=5,min_cos=0.75)",seed=running job;sim=1.000
job resize event,job,"embed_expand(k=5,min_cos=0.75)",seed=running job;sim=1.000
job task,job,"embed_expand(k=5,min_cos=0.75)",seed=task job;sim=1.000
multicluster job task,job,"embed_expand(k=5,min_cos=0.75)",seed=task job;sim=1.000
job dependency evaluation,job,"embed_expand(k=5,min_cos=0.75)",seed=pool job;sim=1.000
job execution host,job,"embed_expand(k=5,min_cos=0.75)",seed=execution host job;sim=1.000
job idle exception,job,"embed_expand(k=5,min_cos=0.75)",seed=idle job;sim=1.000
sizable job lsf,job,"embed_expand(k=5,min_cos=0.75)",seed=lsf job;sim=1.000
lsf job jsdl,job,"embed_expand(k=5,min_cos=0.75)",seed=lsf job;sim=1.000
docker job lsf,job,"embed_expand(k=5,min_cos=0.75)",seed=lsf job;sim=1.000
removal job lsf,job,"embed_expand(k=5,min_cos=0.75)",seed=lsf job;sim=1.000
job group,job,"embed_expand(k=5,min_cos=0.75)",seed=group job;sim=1.000
job group risk_group,job,"embed_expand(k=5,min_cos=0.75)",seed=group job;sim=1.000
job lsf cluster,job,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster job;sim=1.000
job host lsf,job,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster job;sim=0.999
job lsf system,job,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster job;sim=0.999
job execution,job,"embed_expand(k=5,min_cos=0.75)",seed=job new job;sim=0.999
job particular shell,job,"embed_expand(k=5,min_cos=0.75)",seed=shell job;sim=1.000
standard job prioritization,job,"embed_expand(k=5,min_cos=0.75)",seed=shell job;sim=0.999
parallel job script,job,"embed_expand(k=5,min_cos=0.75)",seed=shell job;sim=0.999
job transfer script,job,"embed_expand(k=5,min_cos=0.75)",seed=shell job;sim=0.999
job plan,job,"embed_expand(k=5,min_cos=0.75)",seed=plan job;sim=1.000
job license,job,"embed_expand(k=5,min_cos=0.75)",seed=license job;sim=1.000
job submission,job,"embed_expand(k=5,min_cos=0.75)",seed=access job;sim=0.999
job email,job,"embed_expand(k=5,min_cos=0.75)",seed=email notification job;sim=1.000
job error,job,"embed_expand(k=5,min_cos=0.75)",seed=message job;sim=0.999
job control message,job,"embed_expand(k=5,min_cos=0.75)",seed=message job;sim=0.999
job important criterion,job,"embed_expand(k=5,min_cos=0.75)",seed=container common job;sim=0.999
job great token,job,"embed_expand(k=5,min_cos=0.75)",seed=configuration job;sim=0.999
job application profile,job,"embed_expand(k=5,min_cos=0.75)",seed=application profile job;sim=1.000
job application,job,"embed_expand(k=5,min_cos=0.75)",seed=application profile job;sim=1.000
job dependency scheduling,job,"embed_expand(k=5,min_cos=0.75)",seed=scheduling docker job;sim=1.000
job allocation,job,"embed_expand(k=5,min_cos=0.75)",seed=distribution job;sim=0.999
job scheduling execution,job,"embed_expand(k=5,min_cos=0.75)",seed=current job;sim=0.999
job start,job,"embed_expand(k=5,min_cos=0.75)",seed=start job;sim=1.000
job management,job,"embed_expand(k=5,min_cos=0.75)",seed=change job;sim=0.999
feature job process,job,"embed_expand(k=5,min_cos=0.75)",seed=process parallel job;sim=1.000
child job group,job,"embed_expand(k=5,min_cos=0.75)",seed=process parallel job;sim=0.999
cluster mode,cluster,"embed_expand(k=5,min_cos=0.75)",seed=local cluster;sim=0.999
cluster master statu,cluster,"embed_expand(k=5,min_cos=0.75)",seed=local cluster;sim=0.999
remote cluster job,cluster,"embed_expand(k=5,min_cos=0.75)",seed=job submission cluster;sim=1.000
execution cluster job,cluster,"embed_expand(k=5,min_cos=0.75)",seed=job submission cluster;sim=0.999
cluster security,cluster,"embed_expand(k=5,min_cos=0.75)",seed=slot cluster;sim=0.999
cluster license project,cluster,"embed_expand(k=5,min_cos=0.75)",seed=license cluster;sim=1.000
resource management,cluster,"embed_expand(k=5,min_cos=0.75)",seed=resource sharing cluster;sim=0.998
cluster management host,cluster,"embed_expand(k=5,min_cos=0.75)",seed=server host cluster;sim=0.999
server host,cluster,"embed_expand(k=5,min_cos=0.75)",seed=server host cluster;sim=0.999
cluster lsf,cluster,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster;sim=1.000
lsf cluster host,cluster,"embed_expand(k=5,min_cos=0.75)",seed=lsf cluster;sim=0.999
cluster host,cluster,"embed_expand(k=5,min_cos=0.75)",seed=host cluster;sim=1.000
valid lsf host,cluster,"embed_expand(k=5,min_cos=0.75)",seed=host cluster;sim=0.998
daemon change effect,cluster,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd daemon cluster;sim=0.999
mbatchd daemon,cluster,"embed_expand(k=5,min_cos=0.75)",seed=mbatchd daemon cluster;sim=0.999
lsf cluster job,cluster,"embed_expand(k=5,min_cos=0.75)",seed=job lsf cluster;sim=1.000
job host lsf,cluster,"embed_expand(k=5,min_cos=0.75)",seed=job lsf cluster;sim=0.999
job lsf system,cluster,"embed_expand(k=5,min_cos=0.75)",seed=job lsf cluster;sim=0.999
lsf job,cluster,"embed_expand(k=5,min_cos=0.75)",seed=job lsf cluster;sim=0.999
cluster ego,cluster,"embed_expand(k=5,min_cos=0.75)",seed=demand project cluster;sim=0.999
lsf host,cluster,"embed_expand(k=5,min_cos=0.75)",seed=lsf host cluster;sim=0.999
cluster job,cluster,"embed_expand(k=5,min_cos=0.75)",seed=job cluster;sim=1.000
